Aktiva Bolag;Döda bolag;;;;
ATLAS COPCO A;ABB A;;;;
INVESTOR B;AGA B;;;;
EQT;AHUSGLASS B;;;;
VOLVO B;AINAX;;;;
SKANDINAVISKA ENSKILDA BANKEN A;ALFASKOP;;;;
SAAB B;AMAGO CAPITAL;;;;
SWEDBANK A;ANTICIMEX;;;;
SANDVIK;ARENA PERSONAL;;;;
ASSA ABLOY B;ARGONAUT A;;;;
ERICSSON B;ARJO;;;;
SVENSKA HANDELSBANKEN A;ARK TRAVEL;;;;
HEXAGON B;ASSIDOMAN;;;;
BOLIDEN ORD SHS;ASTRA 'B';;;;
HENNES & MAURITZ B;ATLANTICA FRB.;;;;
EPIROC A;AUTOLIV;;;;
ALFA LAVAL;AVALON INNOVATION 'B';;;;
FASTIGHETS BALDER B;AVESTAPOLARIT (OME);;;;
TELIA COMPANY;BEDMINSTER B;;;;
LIFCO B;BERGALIDEN BF;;;;
TELE2 B;BFE BENIMA FERATOR ENGR.;;;;
LATOUR INVESTMENT B;BIACORE INTERNATIONAL;;;;
SKANSKA B;BIORA;;;;
SKF B;BLUEMARX;;;;
ADDTECH B;BNL INFORMATION B;;;;
EVOLUTION;BORAS WAFVERI B;;;;
INDUTRADE;BOSTADS AB DROTT;;;;
SWEDISH ORPHAN BIOVITRUM;BPA A;;;;
AAK;BRAND NEW WORLD B;;;;
CASTELLUM;BRIO 'B';;;;
INDUSTRIVARDEN A;BT INDUSTRIES;;;;
NIBE INDUSTRIER;BULTEN B;;;;
SVENSKA CELLULOSA AKTIEBOLAGET SCA B;CARAN 'B';;;;
VOLVO CAR B;CARTESIA INFO.STEKNIK B;;;;
LAGERCRANTZ GROUP B;CELSIUS B;;;;
LUNDBERGFORETAGEN B;CELTICA FASTIGHETS;;;;
SECURITAS B;COLDATOR FRESHCOOL INTL. B;;;;
TRELLEBORG B;COLUMNA;;;;
AVANZA BANK HOLDING;COMEXCHANGE;;;;
AXFOOD;CONATO AF;;;;
