strategy,portfolio_group,cap_segment,portfolio_size,weighting,mean_monthly_return,volatility,skewness,n_obs,final_wealth,total_bankruptcies,total_acquisitions
high_skew,high_skew_large_100_equal,large,100,equal,0.010844806281605217,0.04682958077054725,-0.6453999368621962,360,32.72271582603043,3,133
high_skew,high_skew_large_100_market_cap,large,100,market_cap,0.009425013809054477,0.05265292655219108,-0.6110254985987604,360,17.73276383495807,3,133
high_skew,high_skew_large_100_risk_parity,large,100,risk_parity,0.011060823564433483,0.04630742174780106,-0.6667962408800271,360,35.65007687966633,3,133
high_skew,high_skew_large_10_equal,large,10,equal,0.007176400309620955,0.062290690966047745,-0.05872835767046154,360,6.5519068079349765,0,18
high_skew,high_skew_large_10_market_cap,large,10,market_cap,0.006891663848496021,0.0732217178388573,-0.6319695639561547,360,4.404199729462679,0,18
high_skew,high_skew_large_10_risk_parity,large,10,risk_parity,0.008039058455216611,0.058374916635313814,-0.32667421049114354,360,9.661242644186991,0,18
high_skew,high_skew_large_50_equal,large,50,equal,0.010021417710959577,0.04984416172062946,-0.5676761040563011,360,23.142200848458156,2,85
high_skew,high_skew_large_50_market_cap,large,50,market_cap,0.00909025235348487,0.062127973886807346,-0.3941930817517655,360,12.940944498135865,2,85
high_skew,high_skew_large_50_risk_parity,large,50,risk_parity,0.010477031262793823,0.048265810653583895,-0.5680813478326907,360,28.014639571218478,2,85
high_skew,high_skew_mid_100_equal,mid,100,equal,0.006811671766473089,0.04290767842275399,-0.24408337988841441,360,8.283104406542158,10,143
high_skew,high_skew_mid_100_market_cap,mid,100,market_cap,0.0069559661865702185,0.04400460879670618,-0.36474151972807894,360,8.563313473973784,10,143
high_skew,high_skew_mid_100_risk_parity,mid,100,risk_parity,0.007510540304291541,0.042452600447192367,-0.24542664616555981,360,10.713008271154068,10,143
high_skew,high_skew_mid_10_equal,mid,10,equal,0.0009026117398952048,0.060616529243354283,0.5396192504369806,360,0.7208949249770051,2,15
high_skew,high_skew_mid_10_market_cap,mid,10,market_cap,-0.0017978285226207852,0.059985611034414146,-0.04096967711288902,360,0.2714106872114369,2,15
high_skew,high_skew_mid_10_risk_parity,mid,10,risk_parity,0.007526971766517624,0.0709144431404691,0.5485761869058549,360,6.163554911783407,2,15
high_skew,high_skew_mid_50_equal,mid,50,equal,0.004869143550532107,0.04591460922021072,-0.11903138785789481,360,3.9380367780653502,7,81
high_skew,high_skew_mid_50_market_cap,mid,50,market_cap,0.005074875592443511,0.046740950900587906,-0.3029311264314721,360,4.172367150731043,7,81
high_skew,high_skew_mid_50_risk_parity,mid,50,risk_parity,0.006437914940434502,0.044795711881260414,-0.009056665034231583,360,7.048542436687088,7,81
high_skew,high_skew_small_100_equal,small,100,equal,0.012085047419189747,0.07141053447364454,2.4877597191653327,360,33.31170487158037,68,150
high_skew,high_skew_small_100_market_cap,small,100,market_cap,0.010109109978022748,0.061076955447134,1.7212352195999094,360,20.01471047710505,68,150
high_skew,high_skew_small_100_risk_parity,small,100,risk_parity,0.012768421749743243,0.06946392083206106,2.4924311689777756,360,44.351505077930604,68,150
high_skew,high_skew_small_10_equal,small,10,equal,0.0007335716099204242,0.09179709212508112,0.47142583403266314,360,0.29154000571713856,9,11
high_skew,high_skew_small_10_market_cap,small,10,market_cap,0.0001937250375967894,0.0984068171127002,0.8107817688134373,360,0.19809737973984126,9,11
high_skew,high_skew_small_10_risk_parity,small,10,risk_parity,0.005883243890617197,0.0917977642528759,1.005856944313147,360,1.963952054244731,9,11
high_skew,high_skew_small_50_equal,small,50,equal,0.011124881009621845,0.10862745059873531,5.989947823181017,360,11.2769628962502,33,79
